Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
8027,5 Serisi,520d Premium,SAH?B?NDEN EMSALS?Z TEM?ZL?KTE 520D,2011,109,Siyah,"20 Ocak
                        2020",BursaNil�fer,230.000 TL
8028,Micra,1.2 Match,MAS AUTO 2015 MODEL M?CRA BEYAZ MATCH TAM OTOMAT?K 54.ooo KM,2015,54,Beyaz,"15 Ocak
                        2020",?stanbulAta?ehir,81.900 TL
8029,C-Elys�e,1.6 BlueHDI Live,27 BIN KILOMETREDE TEK NOKTADAN AGIR HASAR KAYITLI,2018,27,Beyaz,"19 Ocak
                        2020",?stanbulAta?ehir,77.500 TL
8030,Accent Blue,1.6 CRDI Mode Plus,TURTA? OTOMOT?V'DEN BOYASIZ DE???ENS?Z HASAR KAYITSIZ OTOMAT?K,2017,97.686,Beyaz,"21 Ocak
                        2020",AntalyaKepez,103.750 TL
8031,Civic,1.6i VTEC Eco Executive,Sahibinden / Yetkili Servis Bak?ml? Batman'a Opsiyonlanm??t?r,2017,70.48,F�me,"20 Ocak
                        2020",KonyaMeram,149.500 TL
8032,Astra,1.6 Edition,BOYASIZ 2017 OPEL ASTRA 1.6 ED?T?ON 20.000KM'DE GEN?? EKRAN_FULL,2017,20,F�me,"21 Ocak
                        2020",Mu?laFethiye,92.500 TL
8033,Punto,Grande 1.4 Fire Dynamic,PIRIL PIRIL FIRE DYNAMIC PUNTO,2010,108,K?rm?z?,"22 Ocak
                        2020",BursaOsmangazi,54.850 TL
8034,Escort,1.6 CLX,dosta gider,1997,220,Bej,"21 Ocak
                        2020",Eski?ehirTepeba??,17.750 TL
8035,Cerato,1.6 CRDi Concept Plus,Sahibinden Sadece 39 Bin Km,2016,39.95,Gri,"16 Ocak
                        2020",GiresunMerkez,129.950 TL
8036,126 Bis,126,K?RENLER-1991 F?AT 126 B?S SULU MOTOR,1991,185,Beyaz,"21 Ocak
                        2020",Zonguldak�aycuma,9.000 TL
8037,Linea,1.3 Multijet Active Plus,Ticari Paras?na Orjinal Bakmadan Ge�mee,2013,215,Beyaz,"22 Ocak
                        2020",AdanaSeyhan,37.800 TL
8038,B-Max,1.5 TDCi Titanium,Sahibinden Temiz Tramersiz Kazas?z Aile Arac?,2012,72.533,Beyaz,"21 Ocak
                        2020",?zmirBayrakl?,86.000 TL
8039,Micra,1.2 Passion,"2011 NISSAN MICRA 1.2 PASSION MANUEL62.300KM DE???ENS?Z,BOYASIZ",2011,62.3,Siyah,"14 Ocak
                        2020",?zmirBornova,57.500 TL
8040,CLA,180 d AMG,DAF MOTORS_______ 2014 CLA 180d AMG HATASIZ,2015,90,Beyaz,"24 Aral?k
                        2019",?stanbulArnavutk�y,186.750 TL
8041,Civic,1.6i VTEC Elegance,SAH?B?NDEN TEM?Z HONDA,2009,105,Siyah,"22 Ocak
                        2020",Ankara�ankaya,84.500 TL
8042,Civic,1.6 VTEC ES,HONDA C?V?C 2004 HATASIZ BOYASIZ LPG'L? TRDE NAD?R KALANLARDAN,2004,157,G�m�? Gri,"21 Ocak
                        2020",OsmaniyeD�zi�i,80.500 TL
8043,A4,A4 Sedan 1.4 TFSI Dynamic,TEMIZ A4 ARAYANLARA KM D�?�K SANRUFLU,2016,52,Siyah,"20 Ocak
                        2020",Gaziantep?ehitkamil,221.500 TL
8044,C-Elys�e,1.6 HDi  Attraction,EXCLUS?VE TADINDA...,2015,168,Beyaz,"22 Ocak
                        2020",Kocaeli?zmit,56.500 TL
8045,C-Elys�e,1.6 HDi  Attraction,7.950 TL PE??NAT ile ANINDA KRED?-2015 C-ELYSEE 1.6HDI ATTR-92HP,2015,113,Beyaz,"21 Ocak
                        2020",?stanbulAta?ehir,55.950 TL
8046,A3,A3 Sportback 1.6 TDI,VOLVO YETK?L BAY? ARKAS ANKARADAN 2012 A3 138 B?N KM,2012,138,Siyah,"21 Ocak
                        2020",AnkaraYenimahalle,109.950 TL
8047,Getz,1.5 CRDi VGT,SZN'LER MOTOR'SDAN 2006 MODEL HYUNDA? GETZ 1.5 4 S?L?ND?R MODEL?,2006,220,Mavi,"22 Ocak
                        2020",?stanbulSultanbeyli,30.750 TL
8048,Focus,1.5 TDCi Trend X,DERE MOTORSDAN 2016 FORD FOCUS 1.5 TDC? TREN X,2016,143,Beyaz,"21 Ocak
                        2020",?stanbulEsenyurt,109.900 TL
8049,Fiesta,1.4 TDCi Comfort,acil sat?l?k ihtiya�tan,2007,199,Mavi,"21 Ocak
                        2020",K?r?ehirMerkez,35.500 TL
8050,Accent,1.5 CRDi Admire,Askeri personelden,2005,165,G�m�? Gri,"21 Ocak
                        2020",SamsunAla�am,27.500 TL
8051,Venga,1.4 CRDi Active,sahibinden K?A VENGA,2012,230,Beyaz,"13 Ocak
                        2020",KonyaBey?ehir,58.000 TL
8052,Micra,1.5 dCi Passion,2007 Nissan Micra 1.5 dCi Passion,2007,202,Siyah,"15 Ocak
                        2020",?stanbul�mraniye,34.000 TL
8053,Astra,1.6 CDTI Elite,astra 2016 elite paket,2016,44.5,Beyaz,"21 Ocak
                        2020",Elaz??Merkez,123.000 TL
8054,C-Elys�e,1.6 HDi  Attraction,D?ZEL COK TEM?Z MASRAFSIZ,2013,187,Beyaz,"19 Ocak
                        2020",?stanbul�mraniye,53.900 TL
8055,Primera,1.6 Tekna,ORJ?NAL 140 B?N KM TEM?Z EXPERT?Z? YAPILMI? MASRAFSIZ ARA�,2006,139,?ampanya,"13 Ocak
                        2020",AntalyaKepez,48.000 TL
8056,Astra,1.4 Club,"SAH?B?NDEN SATILIK 1,4 TW?NPORT OPEL ASTRA",2006,197,Siyah,"21 Ocak
                        2020",Tekirda?�orlu,46.500 TL
8057,Omega,2.5 Elegance,TEM?Z BAKIMLI,2000,263,Lacivert,"21 Ocak
                        2020",?zmirBornova,35.000 TL
8058,C-Elys�e,1.6 HDi  Attraction,2016 MODEL CITROEN C_ELYSEE HATASIZ BOYASIZ,2016,179,Beyaz,"20 Ocak
                        2020",?stanbulBa?c?lar,64.900 TL
8059,C-Elys�e,1.6 HDi  Exclusive,(KAPORA ALINDI) 2016 CITROEN C ELYSEE EXCLUSIVE 1.6HDI 93.000km,2016,93,Beyaz,"20 Ocak
                        2020",Gaziantep?ehitkamil,67.500 TL
8060,Mondeo,2.0 TDCi Ghia,Tr de tek Mondeo; deri koltuk ?s?tmal? ve liftback bagaj,2003,176,Mavi,"21 Ocak
                        2020",AnkaraG�lba??,48.000 TL
8061,Civic,1.6 VTEC ES,HATA YOK DE???EN YOK FULL ES7,2005,181,?ampanya,"22 Ocak
                        2020",AnkaraKe�i�ren,71.750 TL
8062,C5,1.6 HDi SX,boya de?i?en yok ful orjinal ara�. 150 favori gelen olmad? daha,2006,279.75,G�m�? Gri,"19 Ocak
                        2020",KonyaSel�uklu,36.750 TL
8063,S Serisi,S 400 AMG,TORLAKO?LU 2018 S400 4MAT?C LONG 340HP AMG MASAJ GECE G�R�?,2018,38,Siyah,"21 Ocak
                        2020",?stanbulBak?rk�y,1.850.000 TL
8064,Astra,1.6 Edition Plus,G�R�LMEYE DEGER 2018 1.6 ED?TON PLUS LPG BOYASIZ,2018,27,Beyaz,"21 Ocak
                        2020",K�tahyaMerkez,105.750 TL
8065,3 Serisi,320d M Sport,ARD MOTORS 3.20d ?� DI? M SPORT 93.000KM NAD?R KALANLARDAN !!,2013,92.985,Mavi,"21 Ocak
                        2020",?stanbulBa?c?lar,218.900 TL
8066,C-Elys�e,1.2 VTi Attraction,Sahibinden temiz araba,2014,23,Gri,"22 Ocak
                        2020",Elaz??Merkez,60.000 TL
8067,Linea,1.4 Fire Active Plus,km orjinal,2009,149.505,G�m�? Gri,"22 Ocak
                        2020",MalatyaBattalgazi,41.250 TL
8068,i20,1.2 MPI Elite,2OI5 74'KM DE?i?ENSiZ �iZiKSiZ EXTRALI I.2MPI 85PS^ELiTE BLUE,2015,74,Beyaz,"22 Ocak
                        2020",BursaY?ld?r?m,75.000 TL
8069,Linea,1.3 Multijet Active,AC?LL SATILIK ARA� ?HT?YA� ?�?N SATILIKTIR,2012,205,Beyaz,"22 Ocak
                        2020",ErzurumTortum,40.000 TL
8070,C-Elys�e,1.6 HDi  Exclusive,sahibinden 2015 �?k??l? temiz bak?ml? hatas?z aile arabas?.,2014,45,Beyaz,"21 Ocak
                        2020",Ordu�atalp?nar,78.500 TL
8071,E Serisi,E 180 Exclusive,COMMAND EKRAN* ?STER SENET ?STER KRED? ?MKANI 6-48 AY VADELERLE!,2017,65,Siyah,"17 Ocak
                        2020",?stanbulGaziosmanpa?a,369.950 TL
8072,Micra,1.2 Punch,2012 M?CRA 1.2 PUNCH OTOMAT?K+KOLTUK ISITMA+SADECE 91.000KM,2012,91,Gri,"13 Ocak
                        2020",Ayd?nS�ke,70.500 TL
8073,A3,A3 Sportback 1.2 TFSI,HATA BOYA YOKK,2012,88.5,Beyaz,"21 Ocak
                        2020",TrabzonOrtahisar,114.500 TL
8074,Astra,1.6 CDTI Sport,SAH?B?NDEN HATAS?Z BOYAS?Z HASAR KAY?TS?Z...,2015,93,Siyah,"22 Ocak
                        2020",AntalyaManavgat,109.000 TL
8075,RX,RX-8,D&B MOTORS MAZDA RX8 2011,2011,88,Beyaz,"09 Ocak
                        2020",BursaNil�fer,130.900 TL
8076,Micra,1.2 Passion,81 km temiz micra,2012,81,Bordo,"21 Ocak
                        2020",K?r?kkaleMerkez,67.500 TL
8077,Micra,1.2 Match,2015 MODEL N?SSAN M?CRA 1.2 MATCH CVT 67.464 KM,2015,67.464,Beyaz,"09 Ocak
                        2020",?stanbulBeykoz,79.850 TL
8078,E Serisi,E 250 CDI BlueEfficiency Avantgarde,KARATEPE 2010 E250 CD? BLUEFF?ENCY AVANGAR CAMTAVA+DER? ISIT+EKR,2010,182,Siyah,"15 Ocak
                        2020",SakaryaErenler,214.750 TL
8079,Xsara,1.6 SX,tertemiz xsara aile arabas?,2001,160,K?rm?z?,"21 Ocak
                        2020",KonyaCihanbeyli,25.000 TL
8080,Micra,1.2 Match,AC?L SATILIK-OTOMAT?K V?TES-FULL PAKET M?CRA,2013,108,Beyaz,"17 Ocak
                        2020",?zmirBuca,76.500 TL
8081,C Serisi,C 200 d BlueTEC Avantgarde,Hatas?z Boyas?z Tramersiz 4.000 km,2017,4,Beyaz,"20 Ocak
                        2020",?stanbulBah�elievler,305.000 TL
8082,3 Serisi,320i ED Luxury Line Plus,OTOTURKUAZ BOYASIZ 2015 LUXURYLINEPLUS S?TEDETEK TAMDOLU 88500KM,2015,88.5,Beyaz,"22 Ocak
                        2020",K?r?kkaleMerkez,240.750 TL
8083,Accord,2.0 Executive,OTOMAT?K V?TES HONDA ACCORD (TAKAS OLUR),2009,302,Siyah,"20 Ocak
                        2020",SakaryaGeyve,78.000 TL
8084,C5,1.6 e-HDi  Dynamique,SORUNSUZ ARA� ARAYANLARA,2012,219,Beyaz,"17 Ocak
                        2020",SiirtMerkez,70.750 TL
8085,Marea,1.6 ELX,SAH?B?NDN OTOMAT?K MASRAFSIZ BAKIMLI TAKASLI...,1998,237,Mavi,"20 Ocak
                        2020",AnkaraEtimesgut,22.350 TL
8086,Corsa,1.3 CDTI  Essentia,2015 MODEL OTOMAT?K OPEL CORSA 1.3CDTI,2015,42,Beyaz,"21 Ocak
                        2020",SakaryaHendek,80.000 TL
8087,i20,1.4 CRDi Jump,YEN? KASA HYUNDAI ?20 1.4 CRDI JUMP 90 HP,2014,180,Beyaz,"21 Ocak
                        2020",AntalyaSerik,69.900 TL
8088,Rio,1.4 CRDi Concept Plus,2017 R?O PLAS D?ZEL YEN? NES?L WGT MOTOR S BAKIMLI 2YIL GARANT?,2017,50,Beyaz,"20 Ocak
                        2020",?stanbulPendik,95.000 TL
8089,3,1.6 Touring,SAH?B?NDEN TEM?Z OTOMAT?K MAZDA 3,2010,176,Siyah,"11 Ocak
                        2020",AnkaraYenimahalle,71.000 TL
8090,Astra,1.6 Essentia Konfor,Memurdan temiz kullan?lm?? d�?�k km astra,2013,30,Beyaz,"22 Ocak
                        2020",Gaziantep?ahinbey,69.250 TL
8091,Rio,1.5 Comfort,Az yakar �ok ka�ar,2004,190,Gri,"17 Ocak
                        2020",ZonguldakKilimli,33.000 TL
8092,Linea,1.3 Multijet Pop,2013 L?NEA D?ZEL BAKIMLI MASRAFSIZ KAYITSIZ BU F?YATA YOK!!!,2013,282,Beyaz,"21 Ocak
                        2020",AntalyaManavgat,32.750 TL
8093,3 Serisi,320Ci,SAH?B?NDEN SATILIK BMW 320ci,2000,229.385,Lacivert,"22 Ocak
                        2020",AksarayMerkez,68.000 TL
8094,Accord,2.0 Executive,EMSALS?Z D�?�K KM,2008,164,Siyah,"21 Ocak
                        2020",?stanbulBa?c?lar,63.000 TL
8095,Getz,1.5 CRDi VGT,2010 MODEL HYUNDA? GETZ 1.5 D?ZEL 4 S?L?ND?R,2010,197,F�me,"21 Ocak
                        2020",?zmirBuca,31.250 TL
8096,A Serisi,A 180 AMG Sport,Servis bak?ml? sonraki bak?m? istenilen mers serviste �cretsiz,2013,99,Beyaz,"21 Ocak
                        2020",�anakkaleMerkez,119.500 TL
8097,Accent,1.3 LX,98 Hyundai Accent 12 Favoriye te?ekk�rler...,1998,232,Beyaz,"21 Ocak
                        2020",MalatyaYe?ilyurt,23.800 TL
8098,626,2,MAZDA 626 OTOMAT?K TERTEM?Z HATASIZ,1993,321.5,Bordo,"21 Ocak
                        2020",Gaziantep?slahiye,23.500 TL
8099,E Serisi,E 250 CGI 250 CGI,KYC OTOMOT?V'DEN 2014 MERCEDES E250 CGI AMG-BAY??,2014,126.5,Beyaz,"21 Ocak
                        2020",BursaNil�fer,286.750 TL
8100,C-Elys�e,1.6 HDi  Exclusive,?ENKAR OTOMOT?V - 2016 MODEL HATASIZ C-ELYSEE 1.6 HDI EXCLUS?VE,2016,113.25,G�m�? Gri,"19 Ocak
                        2020",�orumMerkez,69.850 TL
8101,E Serisi,E 180 Exclusive,Hatas?z 40.000km exclusive,2018,40,F�me,"21 Ocak
                        2020",Mu?laMarmaris,402.000 TL
8102,Focus,1.5 TDCi Trend X,HATASIZ FOCUS ARAYANLAR 2016,2016,99,Beyaz,"21 Ocak
                        2020",AntalyaManavgat,118.000 TL
8103,A4,A4 Sedan 1.4 TFSI Design,Doktordan Acil Audi A4 ?lk Gelen Al?r,2016,66,Beyaz,"22 Ocak
                        2020",?stanbulFatih,208.500 TL
8104,3 Serisi,316i Standart,TR tek orijinal ara� orijinal km,2011,68,Beyaz,"21 Ocak
                        2020",Tekirda?�orlu,118.000 TL
8105,Primera,1.6 Comfort,# Acil Sat?l?k Nissan Primera Comport 2001,2001,370,G�m�? Gri,"20 Ocak
                        2020",OsmaniyeMerkez,28.750 TL
8106,Egea,1.3 Multijet Easy,2017 f?at egea 1.3 dizel 80.000 km,2017,80,Beyaz,"21 Ocak
                        2020",?zmirMenemen,87.500 TL
8107,5 Serisi,520d Premium,Sahibinden 5.20d Par�a Boyal? (Ara� ve Motorsiklet Takasl?),2008,293,Siyah,"22 Ocak
                        2020",MersinTarsus,95.000 TL
8108,C3,1.6 Pluriel,C3 1.6 Pluriel Otomatik Vites 36.000 Km A�?l?r Tavan,2006,36.1,Turuncu,"19 Ocak
                        2020",AnkaraEtimesgut,34.750 TL
8109,323,1.6 GLX,Saibinden �ok temiz,1994,379,Ye?il,"26 Aral?k
                        2019",ErzurumYakutiye,16.000 TL
8110,E Serisi,E 250 CGI Premium AMG,2011 E 250 CGI AMG PREM?UM 92 B?NDE PANOROM?K+MULT ?MEDYA+COMAND,2011,92,Beyaz,"22 Ocak
                        2020",?stanbul�mraniye,206.000 TL
8111,Ceed,1.6 CRDi Motion,2012 MODEL D?ZEL KIA CEED,2012,105,Beyaz,"20 Ocak
                        2020",Tekirda?S�leymanpa?a,72.000 TL
8112,Fiesta,1.25 Ghia,DAHA TEM?Z? YOK,2001,190,Gri,"22 Ocak
                        2020",AdanaSeyhan,25.000 TL
8113,5 Serisi,520i M Sport,MARCA 2017 520? HAYALET/VAKUM/EL�K.BGJ/NEXT100/?� TABA/HATASIZ,2017,70,Beyaz,"21 Ocak
                        2020",?zmirGaziemir,459.000 TL
8114,Linea,1.3 Multijet Active Plus,2013 LINEA ACTIVE PLUS 146000 OR?J?NAL KM - DE???ENS?Z,2013,146,Beyaz,"20 Aral?k
                        2019",?zmirBuca,48.950 TL
8115,5 Serisi,525tds Standart,ERTA? OTOMOT?V GEBZE 525 TDS STEY?IN MANUEL,1999,171,Beyaz,"21 Ocak
                        2020",KocaeliGebze,50.000 TL
8116,Micra,1.2 Puzzle,RE�BER OTOMOT?V'DEN 2013 PUZZLE OTOMAT?K M?CRA,2013,52,F�me,"18 Ocak
                        2020",?stanbul�mraniye,59.000 TL
8117,200,200 E,E2 paket 200E,1992,326.624,Siyah,"20 Ocak
                        2020",Bal?kesirBand?rma,42.000 TL
8118,3 Serisi,320d Advantage,Tertemiz bu kmde emsali az. Bak?m? yeni k??l?k lastikleryeni,2011,133.2,Beyaz,"21 Ocak
                        2020",KayseriMelikgazi,127.500 TL
8119,2 Serisi,218i Active Tourer Luxury Line,Hatas?z BMW 218i Luxury Plus Benzinli Otomatik Vites / 10 Bin Km,2017,10.747,Siyah,"22 Ocak
                        2020",?stanbul�mraniye,196.500 TL
8120,3 Serisi,316i Comfort,2011 I?IK PAKET SUNROOF ORJ?NAL 73000 KM....,2011,73,Siyah,"21 Ocak
                        2020",?zmirKonak,130.000 TL
8121,C-Elys�e,1.2 VTi Attraction,2013 MODEL 33 B?M KM'DE C?TROEN C-ELYSEE - TAKAS OLUR -,2013,33.587,Beyaz,"21 Ocak
                        2020",Karab�kMerkez,53.750 TL
8122,Corsa,1.3 CDTI  Essentia,MEMURDAN TEM?Z CORSA,2007,201,Beyaz,"22 Ocak
                        2020",Bart?nAmasra,44.500 TL
8123,323,1.8 Familia,MAZDA FAM?LYA SORUNSUZ UYGUN F?YAT ..!,1998,200,?ampanya,"14 Ocak
                        2020",KastamonuMerkez,21.500 TL
8124,Rio,1.5 Comfort,temiz aile arac?,2004,185,G�m�? Gri,"15 Ocak
                        2020",AnkaraKe�i�ren,29.999 TL
8125,3 Serisi,320d Luxury,3.20d LUXURY PAKET NAD?R BULUNANLARDAN,2010,212,Siyah,"20 Ocak
                        2020",AnkaraSincan,119.500 TL
8126,Tipo,1.6 SLX,AC?LL SATILIK..,1997,30,G�m�? Gri,"21 Ocak
                        2020",SakaryaAdapazar?,16.500 TL
8127,3 Serisi,320i,Deyi?ensiz renk g�zeli,2003,266,Mor,"22 Ocak
                        2020",AnkaraSincan,66.000 TL
8128,Cerato,1.6 EX DSL Advance,ba?ka �rne?i olmayan cerato,2007,226,Gri,"20 Ocak
                        2020",SakaryaAdapazar?,53.500 TL
8129,A5,A5 Sportback 2.0 TDI,ARA� MUAYNES? VE A?IR BAKIMLARI YAPILDI,2011,260,Beyaz,"21 Ocak
                        2020",?stanbulBeylikd�z�,127.500 TL
8130,C3,1.4 SX,2004 TAM OTOMAT?K V?TES C?TR�EN C3 1.4 SX 174.000KM D?J? KL?MALI,2004,174,G�m�? Gri,"21 Ocak
                        2020",AnkaraYenimahalle,47.750 TL
8131,Primera,1.6 Comfort,�ok Temiz Primera,2000,280,Beyaz,"14 Ocak
                        2020",BursaY?ld?r?m,28.000 TL
8132,Accent Blue,1.6 CRDI Mode Plus,ED AUTODAN 2015 HYUNDA? ACCENT 1.6 CRD? OTOMAT?K 105.000KM,2015,105,G�m�? Gri,"21 Ocak
                        2020",K?rklareliL�leburgaz,91.750 TL
8133,Micra,1.2 Passion,TAM OTOMAT?K 2008 M?CRA,2008,130,?ampanya,"22 Ocak
                        2020",AntalyaMuratpa?a,57.000 TL
8134,C3,1.4 X Furio,2007 C?TROEN C3 1.4 X FUR?O PAKET FULL BAKIMLI 121.000 KM'dE,2007,121,Siyah,"20 Ocak
                        2020",?stanbulFatih,34.900 TL
8135,500 Ailesi,500L 1.3 Mjet RockStar,HONDA PLAZA �AMKIRAN'DAN 2014 500 L 1.3 MultiJet RockStar Otm,2014,81.725,Siyah,"22 Ocak
                        2020",?zmirGaziemir,98.500 TL
8136,3 Serisi,320i ED Standart,HATASIZ ARAYANLARA.,2014,92,Beyaz,"22 Ocak
                        2020",?zmirKemalpa?a,189.500 TL
8137,3,1.5 SkyActive-D Power,MAZDA OZAN'DAN D?ZEL OTOMAT?K 2018 YEN? MAZDA 3 SKY-D POWER,2018,31,Beyaz,"20 Ocak
                        2020",?stanbul�sk�dar,176.750 TL
8138,Cerato,1.5 CRDi LX,?n?aat Firmas?ndan Emsalsiz temizlikte KIA CERATO 1.5 Dizel,2006,111,Beyaz,"19 Ocak
                        2020",KayseriKocasinan,61.000 TL
8139,3 Serisi,316i M Sport,SRC MOTORS'dan 2014 3.16? MSPORT 75.000 KM DE SIFIR AYARINDA,2014,75,K?rm?z?,"21 Ocak
                        2020",AntalyaManavgat,187.500 TL
8140,Accent Blue,1.6 CRDI Mode Plus,"KALE TAKS? ""2014 HYUNDA? ACCENT BLUE MODE PLUS""",2014,552,Gri,"22 Ocak
                        2020",?stanbulBa?c?lar,46.000 TL
8141,Focus,1.5 TDCi Trend X,2016 MODEL FORD FOCUS 1.5 TDCI TREND X POWERSH?FT 103.844 KM,2016,103.844,Beyaz,"21 Ocak
                        2020",?stanbulBeykoz,117.900 TL
8142,i20,1.4 MPI Style,"hatasiz,boya�siz,t�pl�.30 bin bak?m? yap?l?p verilecek",2018,26.5,K?rm?z?,"21 Ocak
                        2020",TrabzonOrtahisar,107.000 TL
8143,626,2,bu temizlikte yok,1990,200,Mavi,"11 Ocak
                        2020",?stanbulBa?c?lar,15.500 TL
8144,323,1.6 1.6i,Temiz Mazda,1992,282,K?rm?z?,"10 Ocak
                        2020",AntalyaKonyaalt?,15.100 TL
8145,CLA,180 d AMG,TEK?NCE MOTORS 2014 CLA 180 d AMG CAM TAVAN GER? G�R�?,2014,197,Beyaz,"22 Ocak
                        2020",MersinYeni?ehir,158.000 TL
8146,Astra,1.6 Enjoy 111. Y?l,cam gibi opel,2012,123,Gri,"22 Ocak
                        2020",SamsunBafra,73.500 TL
8147,Marea,1.6 SX,Memurdan temiz Marea SX,2001,182.5,G�m�? Gri,"21 Ocak
                        2020",KonyaKaratay,27.750 TL
8148,Micra,1.2 Match,TERTEM?Z N?SSAN M?CRA,2016,72.184,Beyaz,"19 Ocak
                        2020",Diyarbak?rKayap?nar,93.000 TL
8149,C3,1.2 VTi Cool,BARLAS AUTO-C?TROEN C3-2o14-OTOMAT ?K-84.oookm-CAM�TAVAN-BEYAZ-F1,2014,84,Beyaz,"22 Ocak
                        2020",?stanbulMaltepe,77.500 TL
8150,C-Elys�e,1.6 HDi  Exclusive,Emin Otomotivden Yak?t Tasarrufu Arayanlara,2014,120,Beyaz,"20 Ocak
                        2020",�orumAlaca,57.750 TL
8151,A3,A3 Sportback 1.6 TDI,BOYASIZ 2013 95.000 KM CAM TAVAN+3KOL+L�ED+RECARO+5 FARKLI S�R�?,2013,95,Beyaz,"21 Ocak
                        2020",Kocaeli?zmit,159.500 TL
8152,S Serisi,S 500 500 L,Mercedes S 500 L,2000,310,G�m�? Gri,"20 Ocak
                        2020",SamsunCanik,55.000 TL
8153,A3,A3 Sportback 1.4 TFSI,2011 Cam tavan-Ambition,2011,149.5,Beyaz,"21 Ocak
                        2020",Ankara�ankaya,105.900 TL
8154,i20 Troy,1.2 Mode,2011 79 B?N KM DE DE???ENS?Z ?20 TROY MODE BENZ?N MANUEL,2011,78.9,Mavi,"21 Ocak
                        2020",?stanbulAta?ehir,54.900 TL
8155,1 Serisi,116i Premium,"""""Auto SER"""" 2008 BMW 1,16i BAY? �IKI?LI 155,000KM,SUNROOF",2008,155,G�m�? Gri,"15 Ocak
                        2020",Ankara�ankaya,79.750 TL
8156,Note,1.5 dCi Visia,Takas yoktur,2008,196,Siyah,"10 Ocak
                        2020",HatayK?r?khan,38.000 TL
8157,Cerato,1.6 CRDi Concept Techno,Sahibinden 40.000 km de Hatas?z Hasars?z,2017,40.5,Gri,"15 Ocak
                        2020",?stanbulSultangazi,133.500 TL
8158,Accent Era,1.5 CRDi-VGT Team,D?N�ER OTOMOT?V'DEN SATILIK 2011 MODEL HYUNDA? ACCENT ERA,2011,270,Gri,"17 Ocak
                        2020",?stanbulPendik,40.000 TL
8159,A3,A3 Sedan 1.6 TDI,Boyas?z+3kol dreksiyon en dolusuu hatas?zz boyas?zz,2016,96,Beyaz,"22 Ocak
                        2020",KocaeliK�rfez,196.000 TL
8160,A4,A4 Sedan 1.4 TFSI Sport,DO?U? �IKI?LI HATASIZ BOYASIZ A4 SPORT,2016,90,G�m�? Gri,"20 Ocak
                        2020",AnkaraAkyurt,265.000 TL
8161,3 Serisi,320i,hastas?ndan hastas?na,2006,223,G�m�? Gri,"21 Ocak
                        2020",?zmirBornova,79.000 TL
8162,3,1.6 Touring,Orjinal Kara Y?lan Sat??ta!!!,2010,188,Siyah,"11 Ocak
                        2020",AmasyaMerkez,65.500 TL
8163,i30,1.6 CRDi Prime,"D�?�K K?LOMETRE, TEM?Z KULLANILMI? 2011 ?30 1.6 PRIME FULL PAKET",2011,72.5,Siyah,"22 Ocak
                        2020",?stanbulBah�elievler,71.500 TL
8164,323,1.5 1.5i,Sahibinden Temiz Emsalsiz Mazda 323,1997,234,Lacivert,"23 Aral?k
                        2019",SinopMerkez,26.000 TL
8165,A4,A4 Sedan 1.4 TFSI Dynamic,"Hatas?z,s?f?r ayar?nda 2018 25000 km de Beyaz A4 1.4 TFSI 150 ps",2018,25,Beyaz,"19 Ocak
                        2020",?stanbulK���k�ekmece,270.000 TL
8166,Accent Era,1.4 Start,Otoko� Samsun'dan 2011 Benzinli Manuel Hyundai Accent Era %1,2011,105.116,G�m�? Gri,"20 Ocak
                        2020",SamsunTekkek�y,53.000 TL
8167,Micra,1.2 Tekna,"2004 Nissan Micra TEKNA TAM OTOMAT?K. SADECE 107000 KM,FULL+FULL",2004,107,K?rm?z?,"21 Ocak
                        2020",BursaNil�fer,58.900 TL
8168,Astra,1.6 Enjoy 111. Y?l,111.yil �zel seri astra 2010 model en dolusu,2011,170,Gri,"22 Ocak
                        2020",Adana?mamo?lu,46.500 TL
8169,E Serisi,E 250 CGI Premium,SAH?B?NDEN MERCEDES E 250 CG? PREM?UM 109.000 KM-�?FT HAFIZA,2013,109.909,Beyaz,"21 Ocak
                        2020",U?akMerkez,230.000 TL
8170,A4,A4 Sedan 2.0 TDI,2014 AUDI A4 2.0 TDI 150.000 KM,2014,150,Beyaz,"21 Ocak
                        2020",?stanbulSancaktepe,123.000 TL
8171,Fiesta,1.5 TDCi Trend X,*** 19.000 TL PE??N 2015 F?ESTA 1.5 TDCI TREND X 60 AY VADE ***,2015,146,Beyaz,"21 Ocak
                        2020",?zmirGaziemir,72.000 TL
8172,Pride,1.3 DLX,Acil Sat?l?k OTOMAT?K,2000,196,Gri,"21 Ocak
                        2020",Ankara�ankaya,20.750 TL
8173,5 Serisi,530d Standart,2004 MODEL M PAKET RECORA HAFIZA KOLTUKLU 5.30 D,2004,294,Gri,"27 Aral?k
                        2019",AnkaraYenimahalle,78.000 TL
8174,A3,A3 Hatchback 1.6,BAKIMLARI YAPILMI?.MUYANE YEN�,2004,254,Gri,"21 Ocak
                        2020",?stanbulKad?k�y,46.500 TL
8175,Cerato,1.5 CRDi EX,2006 MODEL KIA CERATO CRD?,2006,171,Gri,"13 Ocak
                        2020",AntalyaAlanya,40.000 TL
